Level,Number,Description,Tags,Owner,Status,Estimate,Remaining,Wiki,Watchers,Related,Duplicate,Version 1
1,23,Determine static pages desired,Knowledge Acquisition,,Not Started,5,5,,,,,
1,24,Determine web host,Knowledge Acquisition,,Not Started,5,5,,,,,
1,14,"Implement static view pages (About, Contact Us, etc)",Feature,,Not Started,20,20,,,,,
1,15,Implement User Structure,Feature,,Not Started,10,10,,,,,
1,16,Implement Sessions,Feature,,Not Started,10,10,,,,,
1,17,Build Inventory Model ,Feature,,Not Started,20,20,,,,,
1,18,Build Inventory View,Feature,,Not Started,20,20,,,,,
1,19,Build Mailer,Feature,,Not Started,10,10,,,,,
1,20,Add Authentication / Roles Filters,Feature,,Not Started,10,10,,,,,
1,21,Add Shopping Cart Functionality,Feature,,Not Started,30,30,,,,,
1,22,Allow Credit Card Payment,Feature,,Not Started,10,10,,,,,
